City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kirakira,SB,-10.4544,161.9205,84.24,75,65,9.13,broken clouds
80,Gorom-Gorom,BF,14.4439,-0.2361,88.34,33,97,15.75,overcast clouds
81,Cabo San Lucas,MX,22.8909,-109.9124,87.1,23,0,8.05,clear sky
82,Korla,CN,41.7597,86.1469,59.85,14,68,5.75,broken clouds
83,Sayyan,YE,15.1718,44.3244,60.73,65,92,1.61,overcast clouds
84,Kazuno,JP,40.1836,140.7872,58.57,98,100,3.94,light rain
85,Kahului,US,20.8947,-156.47,82.42,67,40,19.57,light rain
86,Maniitsoq,GL,65.4167,-52.9,34.83,79,18,5.84,few clouds
87,Kruisfontein,ZA,-34.0033,24.7314,58.89,71,50,11.81,scattered clouds
88,Iqaluit,CA,63.7506,-68.5145,28.13,86,100,8.99,light snow
89,Skibbereen,IE,51.55,-9.2667,54.1,98,100,4.9,overcast clouds
90,Narsaq,GL,60.9167,-46.05,48.42,65,0,5.61,clear sky
91,Vaini,TO,-21.2,-175.2,80.76,89,75,12.66,light rain
92,Souillac,MU,-20.5167,57.5167,70.18,94,20,3.44,few clouds
93,Isangel,VU,-19.55,169.2667,79.68,68,76,4.88,broken clouds
94,Chuy,UY,-33.6971,-53.4616,65.57,76,0,11.27,clear sky
95,Guane,CU,22.2025,-84.0875,85.75,60,1,14.65,clear sky
96,Maku,IR,39.2911,44.4521,53.92,71,88,4.7,overcast clouds
97,Yerbogachen,RU,61.2767,108.0108,29.5,96,91,3.76,overcast clouds
98,Marsh Harbour,BS,26.5412,-77.0636,80.55,73,74,16.15,broken clouds
99,Cherskiy,RU,68.75,161.3,16.79,88,66,4.56,broken clouds
100,Airai,TL,-8.9266,125.4092,56.66,89,71,2.55,broken clouds
101,Zhigansk,RU,66.7697,123.3711,30.42,98,96,6.89,overcast clouds
102,Najran,SA,17.4924,44.1277,79.45,38,34,4.32,scattered clouds
103,Norman Wells,CA,65.282,-126.8329,44.64,42,20,2.3,few clouds
104,Garden City,US,42.3256,-83.331,65.01,57,100,12.66,overcast clouds
105,Iquitos,PE,-3.7481,-73.2472,89.64,62,40,3.44,scattered clouds
106,Wana,PK,32.2989,69.5725,64.26,57,52,2.04,broken clouds
107,Bardiyah,LY,31.7561,25.0865,60.35,73,1,7.7,clear sky
108,Adrar,MR,20.5022,-10.0711,91.0,7,0,10.89,clear sky
109,Troitskoye,RU,52.9821,84.6757,41.94,54,99,5.59,overcast clouds
110,San Patricio,US,28.017,-97.5169,78.67,35,0,17.36,clear sky
111,Formosa Do Rio Preto,BR,-11.0483,-45.1931,79.83,55,76,1.59,broken clouds
112,Leh,IN,34.1667,77.5833,29.68,54,72,3.0,broken clouds
113,Williston,US,48.147,-103.618,60.82,30,25,10.0,scattered clouds
114,Mount Isa,AU,-20.7333,139.5,56.97,62,1,9.22,clear sky
115,Butaritari,KI,3.0707,172.7902,82.67,78,98,14.52,light rain
116,Okato,NZ,-39.2,173.8833,58.68,70,100,8.55,overcast clouds
